country,region,number_of_doc
Liechtenstein,Triesenberg,8
Ukraine,Khersons'ka Oblast',8
"Korea, Republic of",Gyeongnam,8
Japan,Tochigi,8
Greece,Lasithi,8
Botswana,Kgatleng,8
Algeria,Ain Defla,8
Thailand,Phuket,8
Russian Federation,Lipetskaya oblast',8
El Salvador,Cuscatlan,8
Nicaragua,Esteli,8
Yemen,Hadramawt,8
India,Tripura,8
Thailand,Rayong,7
Andorra,Encamp,7
Sri Lanka,Eastern Province,7
Pakistan,Azad Kashmir,7
Greenland,Qaasuitsup Kommunia,7
Honduras,Comayagua,7
Greece,Magnisia,7
China,Tianjin,7
Kazakhstan,Qaraghandy oblysy,7
Japan,Nara,7
Uganda,Wakiso,7
Japan,Mie,7
Uruguay,Artigas,7
Philippines,Masbate,7
Latvia,Sejas,7
Philippines,Zamboanga del Norte,7
Albania,Fier,7
Uruguay,Rocha,7
Slovenia,Vuzenica,7
Kenya,Coast,7
Brunei Darussalam,Belait,7
Russian Federation,Permskiy kray,7
Russian Federation,Astrakhanskaya oblast',7
"Macedonia, The Former Yugoslav Republic of",Ilinden,7
"Venezuela, Bolivarian Republic of",Tachira,7
Ecuador,Santa Elena,7
Colombia,Amazonas,7
"Moldova, Republic of",Nisporeni,7
Algeria,Bejaia,7
Thailand,Chiang Mai,7
"Iran, Islamic Republic of",Azarbayjan-e Gharbi,7
Montenegro,Ulcinj,7
Afghanistan,-,7
Tunisia,Al Mahdia,7
Guam,Tamuning-Tumon-Harmon Municipality,7
Malaysia,Kelantan,7
Algeria,Bouira,7
India,Puducherry,7
China,Hainan,7
"Venezuela, Bolivarian Republic of",Vargas,7
Guinea,Nzerekore,7
Algeria,Oum el Bouaghi,7
Colombia,"San Andres, Providencia y Santa Catalina",7
Puerto Rico,Penuelas,7
Uruguay,Tacuarembo,7
Puerto Rico,Humacao,7
Algeria,Chlef,7
"Moldova, Republic of",Leova,7
Iceland,Vestfirdir,7
Ghana,Ashanti,7
Japan,Gunma,7
Kuwait,Al Ahmadi,7
Japan,Fukushima,7
China,Chongqing,7
Puerto Rico,Catano,7
Greece,Kavala,7
Romania,-,7
Montenegro,Herceg-Novi,7
Central African Republic,Bangui,7
Egypt,Ad Daqahliyah,7
Cyprus,Ammochostos,7
Gambia,Banjul,7
Japan,Okayama,7
Slovenia,Zuzemberk,7
Russian Federation,Smolenskaya oblast',7
Thailand,Samut Prakan,7
Morocco,Chaouia-Ouardigha,7
Greece,Khania,7
Azerbaijan,Ucar,7
Georgia,Mtskheta-Mtianeti,6
Ghana,Brong-Ahafo,6
Algeria,Ouargla,6
El Salvador,La Paz,6
Algeria,Mila,6
Russian Federation,Arkhangel'skaya oblast',6
Sri Lanka,Northern Province,6
Greece,Ilia,6
Sri Lanka,North Central Province,6
Tajikistan,Tajikistan,6
Greece,Xanthi,6
Ghana,Eastern,6
Greece,Trikala,6
Japan,Kagawa,6
Egypt,Al Iskandariyah,6
Sierra Leone,Western Area,6
Honduras,Choluteca,6
Azerbaijan,Samaxi,6
China,-,6
China,Gansu,6
French Guiana,Guyane,6
"Macedonia, The Former Yugoslav Republic of",Kumanovo,6
Slovenia,Miren-Kostanjevica,6
Belgium,-,6
Ukraine,Avtonomna Respublika Krym,6
"Korea, Republic of",Jeonbuk,6
Jamaica,Saint James,6
Slovenia,Vipava,6
Kazakhstan,Mangghystau oblysy,6
Japan,Shiga,6
Georgia,Imereti,6
"Macedonia, The Former Yugoslav Republic of",Prilep,6
Dominican Republic,Barahona,6
Egypt,Al Gharbiyah,6
Japan,Iwate,6
Greece,Pieria,6
Guyana,Demerara-Mahaica,6
Latvia,Lubanas,6
Latvia,Aglonas,6
China,Ningxia,6
Niger,Diffa,6
Tonga,Tongatapu,6
Trinidad and Tobago,Port-of-Spain,6
Guatemala,Quetzaltenango,6
Sao Tome and Principe,Sao Tome,6
India,Goa,6
Uruguay,Cerro Largo,6
Cyprus,Keryneia,6
Dominican Republic,Salcedo,6
Puerto Rico,Hatillo,6
"Iran, Islamic Republic of",Khorasan-e Jonubi,6
Papua New Guinea,Northern,6
Syrian Arab Republic,Al Ladhiqiyah,6
Indonesia,Kalimantan Timur,6
Cameroon,Sud-Ouest,6
Croatia,-,6
Saint Vincent and The Grenadines,Saint George,6
Russian Federation,"Mariy El, Respublika",6
Panama,Herrera,6
"Moldova, Republic of",Briceni,6
Grenada,Saint George,6
Russian Federation,Penzenskaya oblast',6
China,Yunnan,6
Puerto Rico,Ponce,6
Kyrgyzstan,Chu,6
Spain,-,6
"Tanzania, United Republic of",Dodoma,6
"Iran, Islamic Republic of",Yazd,5
Philippines,Surigao del Sur,5
Latvia,Cesvaines,5
Guinea-Bissau,Bissau,5
China,Xinjiang,5
Japan,Gifu,5
China,Anhui,5
Algeria,Djelfa,5
Latvia,Alojas,5
Ecuador,Cotopaxi,5
Uruguay,Florida,5
Japan,Nagasaki,5
"Moldova, Republic of",Donduseni,5
Greece,Lakonia,5
"Palestine, State of",Gaza,5
Philippines,Basilan,5
Honduras,El Paraiso,5
Puerto Rico,Carolina,5
Saudi Arabia,Ha'il,5
Guatemala,El Progreso,5
Angola,Benguela,5
Saudi Arabia,'Asir,5
Kazakhstan,Ongtustik Qazaqstan oblysy,5
Japan,Kumamoto,5
Thailand,Songkhla,5
Montenegro,Tivat,5
Albania,Lezhe,5
Russian Federation,Ul'yanovskaya oblast',5
Thailand,Chumphon,5
Egypt,Ash Sharqiyah,5
Russian Federation,Vladimirskaya oblast',5
Brazil,Acre,5
Uruguay,San Jose,5
Greenland,Kommune Kujalleq,5
Thailand,Khon Kaen,5
Puerto Rico,Canovanas,5
Latvia,Skrundas,5
Azerbaijan,Beylaqan,5
Iceland,Nordurland vestra,5
Russian Federation,Saratovskaya oblast',5
Zambia,Copperbelt,5
Madagascar,Antsiranana,5
Japan,Fukui,5
Thailand,Nakhon Pathom,5
"Korea, Republic of",Busan,5
Latvia,Aizputes,5
"Palestine, State of",West Bank,5
Japan,Akita,5
Russian Federation,"Khakasiya, Respublika",5
Andorra,La Massana,5
Nicaragua,Granada,5
Japan,Niigata,5
"Tanzania, United Republic of",Pwani,5
Latvia,Vecumnieku,5
"Iran, Islamic Republic of",Semnan,5
Egypt,Matruh,5
Paraguay,Alto Parana,5
"Moldova, Republic of",-,5
Azerbaijan,Salyan,5
Angola,Kwanza Norte,5
Russian Federation,Belgorodskaya oblast',5
"Venezuela, Bolivarian Republic of",Monagas,5
Bahrain,Ash Shamaliyah,5
Puerto Rico,Manati,5
Albania,Kukes,5
Liechtenstein,Schaan,5
Dominican Republic,Samana,5
Maldives,Maale,5
Japan,Toyama,5
Uzbekistan,Buxoro,4
Oman,Ad Dakhiliyah,4
Russian Federation,Kostromskaya oblast',4
Congo,Pointe-Noire,4
"Moldova, Republic of",Cantemir,4
Algeria,Bordj Bou Arreridj,4
Japan,Ishikawa,4
"Macedonia, The Former Yugoslav Republic of",Ohrid,4
"Moldova, Republic of",Stefan Voda,4
Tunisia,Bajah,4
Thailand,Pattani,4
Greece,Larisa,4
Tunisia,Tozeur,4
Algeria,Msila,4
Ethiopia,Oromiya,4
Mauritius,Port Louis,4
Russian Federation,"Komi, Respublika",4
Ecuador,Bolivar,4
Philippines,-,4
Egypt,Al Ismailiyah,4
Greece,Kozani,4
"Iran, Islamic Republic of",Gilan,4
Nigeria,Rivers,4
Indonesia,Sumatera Barat,4
India,Daman and Diu,4
Austria,-,4
Greece,Rethimni,4
Algeria,Sidi Bel Abbes,4
Papua New Guinea,Morobe,4
"Korea, Republic of",Chungbuk,4
Colombia,-,4
Japan,Wakayama,4
Guam,Hagatna Municipality,4
Russian Federation,Stavropol'skiy kray,4
Greece,Rodhopi,4
Namibia,Erongo,4
Greece,Lesvos,4
Indonesia,Sumatera Selatan,4
Puerto Rico,Trujillo Alto,4
Greece,Serrai,4
Slovenia,Muta,4
Slovenia,Borovnica,4
Russian Federation,Bryanskaya oblast',4
Thailand,Prachuap Khiri Khan,4
Philippines,Nueva Vizcaya,4
Japan,Kochi,4
Guam,Dededo Municipality,4
Chad,Logone-Occidental,4
"Korea, Republic of",Ulsan,4
Comoros,Grande Comore,4
Armenia,Sirak,4
"Macedonia, The Former Yugoslav Republic of",Tearce,4
Slovenia,Sezana,4
Mauritius,Riviere du Rempart,4
Uruguay,Lavalleja,4
Saudi Arabia,Al Qasim,4
Greece,Khalkidhiki,4
Puerto Rico,Lajas,4
China,Xizang,4
Suriname,-,4
Kenya,Nyanza,4
Lao People's Democratic Republic,Xaignabouli,4
Iceland,-,4
Morocco,Tadla-Azilal,4
"Tanzania, United Republic of",Arusha,4
Japan,Saga,4
Thailand,Nan,4
Mozambique,Cabo Delgado,4
Nauru,Yaren,4
Greenland,Qeqqata Kommunia,4
Puerto Rico,Vega Baja,4
Timor-Leste,Dili,4
"Korea, Republic of",Daejeon,4
Russian Federation,Altayskiy kray,4
Jordan,Irbid,4
Guinea,Conakry,4
China,Jilin,4
Russian Federation,Orlovskaya oblast',4
Puerto Rico,Luquillo,4
India,Dadra and Nagar Haveli,4
Japan,Shimane,4
Lao People's Democratic Republic,Champasak,4
Algeria,Souk Ahras,4
"Macedonia, The Former Yugoslav Republic of",Lipkovo,4
Dominican Republic,Valverde,4
Russian Federation,Tverskaya oblast',4
New Zealand,-,3
Greece,Evvoia,3
"Tanzania, United Republic of",Mjini Magharibi,3
Puerto Rico,Corozal,3
Thailand,Nong Khai,3
Jamaica,Saint Catherine,3
Trinidad and Tobago,Arima,3
Guinea,Beyla,3
"Tanzania, United Republic of",Mtwara,3
Andorra,Canillo,3
Puerto Rico,Toa Alta,3
Cambodia,Kampong Chhnang,3
"Korea, Republic of",Gangwon,3
Malaysia,Terengganu,3
Kuwait,Al Jahra,3
Kazakhstan,Pavlodar oblysy,3
Thailand,Sakon Nakhon,3
Thailand,Suphan Buri,3
Algeria,Skikda,3
Zimbabwe,Mashonaland East,3
Saint Lucia,Castries,3
Turks and Caicos Islands,Turks and Caicos Islands,3
Ecuador,Sucumbios,3
Liechtenstein,Balzers,3
Georgia,Samegrelo and Zemo Svaneti,3
Dominican Republic,Dajabon,3
El Salvador,Sonsonate,3
Namibia,Otjozondjupa,3
Azerbaijan,Quba,3
"Korea, Republic of",Jeonnam,3
Puerto Rico,Isabela,3
Indonesia,Kepulauan Riau,3
Dominican Republic,Monte Cristi,3
Russian Federation,Udmurtskaya Respublika,3
Montenegro,Cetinje,3
Madagascar,Fianarantsoa,3
"Venezuela, Bolivarian Republic of",Delta Amacuro,3
Russian Federation,Ivanovskaya oblast',3
Cameroon,Sud,3
Samoa,A'ana,3
Liechtenstein,Triesen,3
Georgia,Abkhazia,3
"Iran, Islamic Republic of",Hamadan,3
Thailand,Buri Ram,3
Thailand,Chiang Rai,3
Uruguay,Durazno,3
Philippines,Aurora,3
Botswana,Central,3
Greece,Evros,3
China,Nei Mongol,3
Kenya,Eastern,3
Greece,Khios,3
"Venezuela, Bolivarian Republic of",Merida,3
Malaysia,Melaka,3
China,Guizhou,3
Thailand,Lamphun,3
Guam,Mangilao Municipality,3
Thailand,Phetchabun,3
Greece,Arta,3
Slovenia,Mezica,3
Thailand,Phitsanulok,3
"Iran, Islamic Republic of",Zanjan,3
Japan,Tokushima,3
Tunisia,Siliana,3
Oman,Shamal al Batinah,3
Haiti,Nord-Est,3
Japan,Aomori,3
Japan,Tottori,3
Guam,Santa Rita Municipality,3
Thailand,Ranong,3
Paraguay,Boqueron,3
Cambodia,Baat Dambang,3
Ecuador,Morona-Santiago,3
"Macedonia, The Former Yugoslav Republic of",Kicevo,3
Thailand,Ratchaburi,3
India,Sikkim,3
Panama,Veraguas,3
Azerbaijan,Ganca,3
Malaysia,Negeri Sembilan,3
Russian Federation,"Kareliya, Respublika",3
Guatemala,Quiche,3
Lao People's Democratic Republic,Louangphabang,3
Chile,-,3
Algeria,Tiaret,3
Algeria,Tlemcen,3
Indonesia,Lampung,3
"Venezuela, Bolivarian Republic of",Guarico,3
Japan,Yamaguchi,3
Armenia,Armavir,3
Indonesia,Kalimantan Selatan,3
Syrian Arab Republic,Hims,3
Azerbaijan,Abseron,3
Bhutan,Thimphu,3
Jordan,Az Zarqa',3
Angola,Cabinda,3
Russian Federation,Kaluzhskaya oblast',3
Kenya,-,3
"Venezuela, Bolivarian Republic of",Barinas,3
Latvia,Baltinavas,3
Puerto Rico,Toa Baja,3
Armenia,Tavus,3
"Macedonia, The Former Yugoslav Republic of",Bogovinje,3
Afghanistan,Herat,3
"Virgin Islands, U.S.",Virgin Islands,3
Algeria,Mostaganem,3
Uruguay,Rivera,3
Pakistan,-,3
Russian Federation,Kurskaya oblast',3
"Macedonia, The Former Yugoslav Republic of",Gevgelija,3
Greece,Fthiotis,3
Norway,-,3
Georgia,Ajaria,3
Mozambique,Niassa,3
Algeria,Ain Temouchent,3
Greece,Argolis,2
Honduras,Lempira,2
Nepal,Narayani,2
Dominica,Saint George,2
Puerto Rico,Rio Grande,2
Puerto Rico,Florida,2
Gabon,Moyen-Ogooue,2
Slovenia,Odranci,2
Puerto Rico,Guaynabo,2
Indonesia,Kalimantan Tengah,2
Solomon Islands,Guadalcanal,2
Cook Islands,Cook Islands,2
Japan,Ehime,2
Algeria,Biskra,2
Egypt,Bur Sa'id,2
Liechtenstein,Planken,2
Sri Lanka,Uva Province,2
Costa Rica,-,2
Algeria,Naama,2
Guatemala,Suchitepequez,2
Antigua and Barbuda,Saint John,2
Uganda,Tororo,2
Armenia,Ararat,2
Suriname,Nickerie,2
"Macedonia, The Former Yugoslav Republic of",Aracinovo,2
Liberia,Margibi,2
"Macedonia, The Former Yugoslav Republic of",Veles,2
Armenia,Lori,2
Algeria,Guelma,2
Russian Federation,Pskovskaya oblast',2
Philippines,Romblon,2
Mexico,-,2
Dominican Republic,Sanchez Ramirez,2
Puerto Rico,Gurabo,2
Papua New Guinea,Western Highlands,2
Indonesia,Sulawesi Selatan,2
"Venezuela, Bolivarian Republic of",Portuguesa,2
Cambodia,Prey Veaeng,2
"Korea, Republic of",Gwangju,2
Ghana,Western,2
Dominican Republic,Baoruco,2
Sint Maarten (Dutch Part),Sint Maarten,2
Tunisia,Gabes,2
Thailand,Phrae,2
Barbados,Saint James,2
Montenegro,Mojkovac,2
Japan,Yamanashi,2
Kuwait,Mubarak al Kabir,2
India,Meghalaya,2
Indonesia,Jambi,2
Tunisia,Tataouine,2
Lebanon,Liban-Nord,2
Algeria,Laghouat,2
Uruguay,Rio Negro,2
Bangladesh,Rangpur,2
Guatemala,Huehuetenango,2
India,Arunachal Pradesh,2
Malawi,Lilongwe,2
"Macedonia, The Former Yugoslav Republic of",Tetovo,2
"Moldova, Republic of",Soldanesti,2
Somalia,Woqooyi Galbeed,2
Nigeria,Imo,2
Russian Federation,Amurskaya oblast',2
Fiji,Western,2
India,Nagaland,2
Thailand,Prachin Buri,2
Japan,Yamagata,2
Namibia,Oshikoto,2
Cambodia,Kandaal,2
"Moldova, Republic of",Basarabeasca,2
Puerto Rico,Aguada,2
Belarus,Homyel'skaya Voblasts',2
Armenia,Gegark'unik',2
"Iran, Islamic Republic of",Ardabil,2
Albania,Shkoder,2
Russian Federation,Orenburgskaya oblast',2
"Korea, Republic of",Jeju,2
Cambodia,Siem Reab,2
Indonesia,Maluku Utara,2
Thailand,Phra Nakhon Si Ayutthaya,2
Saudi Arabia,Al Jawf,2
Papua New Guinea,Enga,2
Saudi Arabia,Tabuk,2
Suriname,Wanica,2
Namibia,Zambezi,2
"Macedonia, The Former Yugoslav Republic of",Valandovo,2
Thailand,Sing Buri,2
Peru,Madre de Dios,2
Egypt,Kafr ash Shaykh,2
"Venezuela, Bolivarian Republic of",Sucre,2
Algeria,Saida,2
Morocco,Guelmim-Es Semara,2
"Iran, Islamic Republic of",Sistan va Baluchestan,2
Tunisia,Gafsa,2
Syrian Arab Republic,Hamah,2
Portugal,-,2
Mauritius,Pamplemousses,2
Slovenia,Oplotnica,2
Tunisia,Bizerte,2
"Macedonia, The Former Yugoslav Republic of",Brvenica,2
Kenya,Central,2
Nicaragua,Masaya,2
"Macedonia, The Former Yugoslav Republic of",Kavadarci,2
Pakistan,Balochistan,2
Greece,Arkadhia,2
Greece,Levkas,2
Puerto Rico,Maricao,2
Azerbaijan,Mingacevir,2
Holy See,Vatican City,2
Azerbaijan,Qazax,2
Uganda,Kiryandongo,2
Egypt,Al Buhayrah,2
Lao People's Democratic Republic,Khammouan,2
Puerto Rico,Camuy,2
Thailand,Lop Buri,2
Thailand,Maha Sarakham,2
Chad,Chari-Baguirmi,2
Brazil,Roraima,2
Ethiopia,YeDebub Biheroch Bihereseboch na Hizboch,2
Equatorial Guinea,Bioko Norte,2
Kenya,Rift Valley,2
Japan,Oita,2
Algeria,Medea,2
Peru,Amazonas,2
Japan,Kagoshima,2
Greece,Samos,2
Grenada,Saint David,2
Thailand,Chanthaburi,2
Thailand,Ubon Ratchathani,2
Ireland,-,2
Trinidad and Tobago,San Fernando,2
"Tanzania, United Republic of",Kaskazini Unguja,2
Tunisia,Sidi Bou Zid,2
Algeria,Bechar,2
Afghanistan,Nangarhar,2
Thailand,Udon Thani,2
"Moldova, Republic of",Taraclia,2
Honduras,Olancho,2
Kazakhstan,Atyrau oblysy,2
Lao People's Democratic Republic,Attapu,2
Lesotho,Leribe,2
Puerto Rico,Quebradillas,2
Qatar,Al Khawr wa adh Dhakhirah,2
"Korea, Republic of",Daegu,2
Greece,Aitolia kai Akarnania,2
"Iran, Islamic Republic of",Qazvin,2
"Congo, The Democratic Republic of The",Nord-Kivu,1
Namibia,Hardap,1
Nicaragua,Carazo,1
Guyana,Essequibo Islands-West Demerara,1
Puerto Rico,Hormigueros,1
Greece,Fokis,1
"Korea, Republic of",-,1
Saint Lucia,Laborie,1
Faroe Islands,Suduroy,1
Philippines,Antique,1
Syrian Arab Republic,Halab,1
Uzbekistan,Namangan,1
Puerto Rico,Morovis,1
Ghana,Central,1
Thailand,Kalasin,1
Kazakhstan,Batys Qazaqstan oblysy,1
Russian Federation,Kurganskaya oblast',1
Thailand,Surin,1
Algeria,El Oued,1
Greece,Zakinthos,1
Guyana,Mahaica-Berbice,1
Algeria,Tebessa,1
"Macedonia, The Former Yugoslav Republic of",Struga,1
Myanmar,Mandalay,1
Bahamas,Rock Sound,1
Russian Federation,Chuvashskaya Respublika,1
Bahamas,Freeport,1
Afghanistan,Balkh,1
French Polynesia,Iles Sous-le-Vent,1
"Venezuela, Bolivarian Republic of",Trujillo,1
Sudan,Gedaref,1
Puerto Rico,Rincon,1
Grenada,Saint John,1
Estonia,-,1
India,Mizoram,1
China,Heilongjiang,1
Pakistan,Federally Administered Tribal Areas,1
El Salvador,Chalatenango,1
Russian Federation,Kirovskaya oblast',1
Thailand,Phayao,1
"Tanzania, United Republic of",Kilimanjaro,1
Ethiopia,Sumale,1
Slovenia,Mislinja,1
Jordan,Al 'Aqabah,1
Kazakhstan,Aqtobe oblysy,1
Thailand,Trang,1
Belize,Cayo,1
Saint Kitts and Nevis,Saint George Basseterre,1
Thailand,Phangnga,1
"Macedonia, The Former Yugoslav Republic of",Novo Selo,1
Algeria,Illizi,1
Japan,Miyazaki,1
Greece,Kardhitsa,1
Kazakhstan,Shyghys Qazaqstan oblysy,1
Uruguay,Treinta y Tres,1
Nigeria,Anambra,1
China,Qinghai,1
Tajikistan,Sughd,1
Nicaragua,Rivas,1
Rwanda,Sud,1
Jamaica,Saint Ann,1
Belarus,Mahilyowskaya Voblasts',1
INVALID IP ADDRESS,INVALID IP ADDRESS,1
Latvia,Ropazu,1
Barbados,Christ Church,1
Egypt,Al Bahr al Ahmar,1
Zimbabwe,Matabeleland North,1
El Salvador,Morazan,1
Wallis and Futuna,Wallis and Futuna Islands,1
Thailand,Samut Songkhram,1
Egypt,Al Minya,1
Kazakhstan,Almaty oblysy,1
Slovenia,-,1
Thailand,Lampang,1
Libya,-,1
Lebanon,Liban-Sud,1
Dominican Republic,Santiago Rodriguez,1
Cameroon,Extreme-Nord,1
Paraguay,Amambay,1
Qatar,Az Za'ayin,1
Russian Federation,Zabaykal'skiy kray,1
Russian Federation,"Buryatiya, Respublika",1
Thailand,Uttaradit,1
Russian Federation,"Severnaya Osetiya-Alaniya, Respublika",1
Nigeria,Oyo,1
Thailand,Nakhon Phanom,1
Vanuatu,Shefa,1
Iraq,Karbala',1
Qatar,Umm Salal,1
Somalia,Jubbada Hoose,1
"Iran, Islamic Republic of",Kermanshah,1
Nepal,Kosi,1
Mayotte,Mamoudzou,1
"Macedonia, The Former Yugoslav Republic of",Negotino,1
"Venezuela, Bolivarian Republic of",Apure,1
Canada,-,1
Tunisia,Kairouan,1
Honduras,Ocotepeque,1
Thailand,Nakhon Si Thammarat,1
Botswana,North-East,1
Guatemala,Alta Verapaz,1
Thailand,Kamphaeng Phet,1
Albania,Korce,1
Dominica,Saint John,1
Uzbekistan,Xorazm,1
Indonesia,Aceh,1
Philippines,Mindoro Occidental,1
Finland,-,1
Jordan,Al Mafraq,1
Burkina Faso,Boulkiemde,1
Nigeria,Delta,1
Russian Federation,"Dagestan, Respublika",1
Ecuador,Orellana,1
Angola,Bie,1
New Caledonia,Province Nord,1
Paraguay,Cordillera,1
Russian Federation,Khanty-Mansiyskiy avtonomnyy okrug-Yugra,1
Rwanda,Nord,1
Russian Federation,Chechenskaya Respublika,1
Thailand,Kanchanaburi,1
Russian Federation,"Mordoviya, Respublika",1
"Macedonia, The Former Yugoslav Republic of",Kocani,1
Algeria,Khenchela,1
Sierra Leone,Eastern,1
Puerto Rico,Anasco,1
Ecuador,Canar,1
Faroe Islands,Nordoyar,1
Dominican Republic,Elias Pina,1
"Bonaire, Sint Eustatius and Saba",Saba,1
Benin,Oueme,1
Afghanistan,Kunar,1
Greece,-,1
Thailand,Krabi,1
Russian Federation,Vologodskaya oblast',1
Thailand,Saraburi,1
Liechtenstein,Schellenberg,1
Nicaragua,Atlantico Sur,1
"Macedonia, The Former Yugoslav Republic of",Sveti Nikole,1
Saudi Arabia,Al Bahah,1
Cambodia,Kaoh Kong,1
Nigeria,Ogun,1
Algeria,El Bayadh,1
Namibia,Omusati,1
Syrian Arab Republic,Dar'a,1
Thailand,Ang Thong,1
Georgia,Shida Kartli,1
Greece,Kikladhes,1
Cambodia,Krong Preah Sihanouk,1
Uzbekistan,Qashqadaryo,1
Azerbaijan,Qabala,1
Algeria,El Tarf,1
Cambodia,Kampong Chaam,1
Egypt,Bani Suwayf,1
Cambodia,Kampong Spueu,1
Saint Martin (French Part),Saint Martin,1
Belarus,Vitsyebskaya Voblasts',1
Iraq,Babil,1
Uganda,Buliisa,1
Puerto Rico,Cidra,1
Malaysia,Perlis,1
Indonesia,Sulawesi Tenggara,1
"Venezuela, Bolivarian Republic of",Cojedes,1
Puerto Rico,Mayaguez,1
Burkina Faso,Kenedougou,1
Guatemala,Chimaltenango,1
Thailand,Phichit,1
Malaysia,Wilayah Persekutuan Putrajaya,1
Panama,Los Santos,1
Afghanistan,Faryab,1
Libya,Al Jufrah,1
Panama,Bocas del Toro,1
"Tanzania, United Republic of",Kagera,1
Sao Tome and Principe,Principe,1
Lebanon,Beqaa,1
Puerto Rico,Municipio de Juncos,1
Puerto Rico,Cabo Rojo,1
"Tanzania, United Republic of",Mwanza,1
Niger,Zinder,1
Montenegro,-,1
"Macedonia, The Former Yugoslav Republic of",Vrapciste,1
Barbados,Saint Peter,1
Ukraine,-,1
Saudi Arabia,Al Hudud ash Shamaliyah,1
Maldives,Laamu,1
Angola,Namibe,1
Armenia,Kotayk',1
Indonesia,Nusa Tenggara Barat,1
Haiti,Nord,1
Liechtenstein,Gamprin,1
Ecuador,Galapagos,1
Greece,Imathia,1
Angola,Kwanza Sul,1
Anguilla,Anguilla,1
Latvia,Brocenu,1
Kazakhstan,Qostanay oblysy,1
Burkina Faso,Houet,1
Nepal,Rapti,1
Puerto Rico,Las Piedras,1
Belarus,Hrodzyenskaya Voblasts',1
Montenegro,Danilovgrad,1
Kazakhstan,Zhambyl oblysy,1
Senegal,Thies,1
Dominica,Saint Paul,1
Maldives,Gaafu Dhaalu,1
Cambodia,Mondol Kiri,1
Azerbaijan,Masalli,1
Somalia,-,1
Russian Federation,"Kalmykiya, Respublika",1
Puerto Rico,Comerio,1
Maldives,Noonu,1
Brunei Darussalam,Tutong,1
Greece,Grevena,1
Angola,Malange,1
Uganda,Masaka,1
Philippines,Mindoro Oriental,1
Cambodia,Stueng Traeng,1
Puerto Rico,Juana Diaz,1
Angola,Uige,1
Thailand,Narathiwat,1
Suriname,Saramacca,1
